hwnd=0x10200 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x40014 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x101b0 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x101b2 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x10130 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x1011a vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 0x0] title=""
hwnd=0x10114 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x10100 vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0x100fe vis=0 class=WorkerW                                  pid=  8008(explorer.exe        ) rect=[0,0 136x39] title=""
hwnd=0xd602f0 vis=1 class=XamlExplorerHostIslandWindow_WASDK       pid=  8008(explorer.exe        ) rect=[0,0 0x0] title=""
hwnd=0x102bc vis=0 class=\o/ Walk_MainWindow_Class \o/            pid=  7384(tailscale-ipn.exe   ) rect=[78,78 480x303] title="Tailscale 1.102.2"
hwnd=0x102ba vis=0 class=tooltips_class32                         pid=  7384(tailscale-ipn.exe   ) rect=[0,0 0x0] title=""
hwnd=0x1010e vis=0 class=tooltips_class32                         pid=  8008(explorer.exe        ) rect=[0,0 0x0] title=""
hwnd=0x30626 vis=0 class=tooltips_class32                         pid=  8008(explorer.exe        ) rect=[0,0 0x0] title=""
hwnd=0x303a6 vis=0 class=tooltips_class32                         pid= 16704(msrdc.exe           ) rect=[0,0 0x0] title=""
hwnd=0x20292 vis=0 class=tray_icon_app                            pid=  7404(pulpw.exe           ) rect=[26,26 480x303] title=""
